alg,in-scale,num-ratings,field,value
ItemItem,81,4,MI-81-corrected.ByUser,-567.01278398
ItemItem,81,4,MI-native,0.109642679158
ItemItem,81,4,NAttempted,306655.6
ItemItem,81,4,MI-81,0.109642679158
ItemItem,81,4,MI-2.ByUser,0.281442055017
ItemItem,81,4,NRMSE.ByUser,0.253496702258
ItemItem,81,4,NMAE,0.219240543641
ItemItem,81,4,MI-20,0.0585379965063
ItemItem,81,4,MI-native.ByUser,2.21063001648
ItemItem,81,4,NMAE.ByUser,0.217206875637
ItemItem,81,4,RMSE.ByUser,5.06993404516
ItemItem,81,4,RMSE.ByRating,5.63053814277
ItemItem,81,4,NUsers,10830.2
ItemItem,81,4,TestTime,3859.6
ItemItem,81,4,Coverage,1.0
ItemItem,81,4,nDCG,nan
ItemItem,81,4,MAE,4.38481087283
ItemItem,81,4,MI-5-corrected.ByUser,-27.8181464762
ItemItem,81,4,MI-2,0.0346321816046
ItemItem,81,4,MI-5,0.0473544669842
ItemItem,81,4,MI-2-corrected.ByUser,-6.83385061994
ItemItem,81,4,BuildTime,15734.4
ItemItem,81,4,MI-10.ByUser,0.921479501986
ItemItem,81,4,MI-20.ByUser,1.17049410704
ItemItem,81,4,MI-5-corrected,0.046601722242
ItemItem,81,4,MI-10-corrected,0.052355632827
ItemItem,81,4,NGood,306655.6
ItemItem,81,4,MI-81.ByUser,2.21063001648
ItemItem,81,4,MAE.ByUser,4.34413751273
ItemItem,81,4,MI-81-corrected,0.0945877843148
ItemItem,81,4,MI-10-corrected.ByUser,-63.1161545726
ItemItem,81,4,MI-2-corrected,0.034443995419
ItemItem,81,4,NRMSE,0.281526907139
ItemItem,81,4,MI-20-corrected.ByUser,-134.020066717
ItemItem,81,4,MI-20-corrected,0.0549624589811
ItemItem,81,4,MI-10,0.0540493084969
ItemItem,81,4,MI-5.ByUser,0.643024223637
ItemUserMean,81,4,MI-native-corrected,0.0978134875365
ItemUserMean,81,4,MI-81-corrected.ByUser,-567.053773994
ItemUserMean,81,4,MI-native,0.11286838238
ItemUserMean,81,4,NAttempted,306655.6
ItemUserMean,81,4,MI-81,0.11286838238
ItemUserMean,81,4,MI-2.ByUser,0.251044739004
ItemUserMean,81,4,NRMSE.ByUser,0.24757060989
ItemUserMean,81,4,NMAE,0.214279159576
ItemUserMean,81,4,MI-20,0.0618603651421
ItemUserMean,81,4,MI-native.ByUser,2.16964000309
ItemUserMean,81,4,NMAE.ByUser,0.213758484169
ItemUserMean,81,4,RMSE.ByUser,4.9514121978
ItemUserMean,81,4,RMSE.ByRating,5.48237551898
ItemUserMean,81,4,NUsers,10830.2
ItemUserMean,81,4,TestTime,11164.2
ItemUserMean,81,4,Coverage,1.0
ItemUserMean,81,4,nDCG,nan
ItemUserMean,81,4,MAE,4.28558319151
ItemUserMean,81,4,MI-5-corrected.ByUser,-27.8493678612
ItemUserMean,81,4,MI-2,0.0366911277163
ItemUserMean,81,4,MI-5,0.0503488497919
ItemUserMean,81,4,MI-2-corrected.ByUser,-6.86424793595
ItemUserMean,81,4,BuildTime,4073.8
ItemUserMean,81,4,MI-10.ByUser,0.905115412532
ItemUserMean,81,4,MI-20.ByUser,1.16372674044
ItemUserMean,81,4,MI-5-corrected,0.0495961050497
ItemUserMean,81,4,MI-10-corrected,0.0555229074781
ItemUserMean,81,4,NGood,306655.6
ItemUserMean,81,4,MI-81.ByUser,2.16964000309
ItemUserMean,81,4,MAE.ByUser,4.27516968338
ItemUserMean,81,4,MI-81-corrected,0.0978134875365
ItemUserMean,81,4,MI-10-corrected.ByUser,-63.1325186621
ItemUserMean,81,4,MI-2-corrected,0.0365029415307
ItemUserMean,81,4,NRMSE,0.274118775949
ItemUserMean,81,4,MI-20-corrected.ByUser,-134.026834084
ItemUserMean,81,4,MI-20-corrected,0.0582848276168
ItemUserMean,81,4,MI-10,0.0572165831479
ItemUserMean,81,4,MI-5.ByUser,0.611802838641
ItemItem,81,10,MI-native-corrected,0.18095062373
ItemItem,81,10,MI-81-corrected.ByUser,-653.310482236
ItemItem,81,10,MI-native,0.199582146029
ItemItem,81,10,NAttempted,247848.4
ItemItem,81,10,MI-81,0.199582146029
ItemItem,81,10,MI-2.ByUser,0.278846078354
ItemItem,81,10,NRMSE.ByUser,0.221037064791
ItemItem,81,10,NMAE,0.192210592924
ItemItem,81,10,MI-20,0.136142771094
ItemItem,81,10,MI-native.ByUser,2.32277333621
ItemItem,81,10,NMAE.ByUser,0.181916412395
ItemItem,81,10,RMSE.ByUser,4.42074129581
ItemItem,81,10,RMSE.ByRating,5.17987706889
ItemItem,81,10,NUsers,7809.4
ItemItem,81,10,TestTime,3547.0
ItemItem,81,10,Coverage,1.0
ItemItem,81,10,nDCG,nan
ItemItem,81,10,MAE,3.84421185848
ItemItem,81,10,MI-5-corrected.ByUser,-32.073044108
ItemItem,81,10,MI-2,0.0712596202219
ItemItem,81,10,MI-5,0.118489786513
ItemItem,81,10,MI-2-corrected.ByUser,-7.9165696163
ItemItem,81,10,BuildTime,27788.6
ItemItem,81,10,MI-10.ByUser,1.02938777001
ItemItem,81,10,MI-20.ByUser,1.2989201513
